Product Name,Product Description,Product Categories,Product Price,Product Price per person,Minimum Price Per Person,Product Sub-category,Vegan,Gluten Free,Halal,Kind
Vegan Coconut Curry Tuscan Salad,"House citrus dressing, pumpkin seeds, diced tomatoes, chickpeas, jalapeno and vegan coconut curry.",Indian Fusion,16.5,,,Individually-Packed,TRUE,FALSE,FALSE,Individual
Vegan Coconut Curry Tuscan Salad Platter,"House citrus dressing, pumpkin seeds, diced tomatoes, chickpeas, jalapeno and vegan coconut curry.",Indian Fusion,300,15,,Tuscan-Salad-Platter,TRUE,FALSE,FALSE,Platter
Vegan Cookie (Serves 10),,Baked Goods & Coffee,60,6,,Baked-Goods-Platter,TRUE,FALSE,FALSE,Platter
Vegan Fried Rice,Fried rice with seasonal fresh vegetables,Chinese,140,7,,Rice-&-Noodles-Platter,TRUE,FALSE,FALSE,Individual
Vegan Sushi Bake Tray,,Hawaiian,300,15,,Hawaiian-Party-Tray,TRUE,FALSE,FALSE,Platter
Vegan Tomato Focaccia (Serves 10),,Baked Goods & Coffee,60,6,,Baked-Goods-Platter,TRUE,FALSE,FALSE,Platter
Vegetable Buns,"Steamed buns filled with bok choy, tofu & mushroom",Chinese,100,5,,Appetizer-Platter,TRUE,FALSE,FALSE,Platter
Vegetable Dumplings,"Dumplings filled with bokchoy, tofu, mushroom & carrot",Chinese,100,5,,Appetizer-Platter,TRUE,FALSE,FALSE,Individual
"Vegetarian Wok with Rice, Salad & Spring Roll",,Thai,19,,,Individually-Packed-Combos,FALSE,FALSE,FALSE,Individual
Veggie Avocado Poke Bowl (Large),,Hawaiian,19,,,Large-Poke-Bowls,TRUE,FALSE,FALSE,Individual
Veggie Avocado Poke Bowl (Regular),,Hawaiian,16,,,Regular-Poke-Bowls,TRUE,FALSE,FALSE,Individual
Veggie Banh Mi,"Aromatic tofu, avocado, and 'secret-recipe' filling, topped with veggies such carrot and daikon, cilantro, and cucumber",Vietnamese,13,,,Individually-Packed-Banh-Mi,FALSE,FALSE,FALSE,Individual
Veggie Banh Mi Platter,"Aromatic tofu, avocado, and 'secret-recipe' filling, topped with veggies such carrot and daikon, cilantro, and cucumber",Vietnamese,240,12,,Banh-Mi-Platter,FALSE,FALSE,FALSE,Platter
Veggie Bento Box,,Japanese,19,,,Individually-Packed-Bowls,FALSE,FALSE,FALSE,Individual
Veggie Burger,,American,240,12,,Burger-Platter,TRUE,FALSE,FALSE,Individual
Veggie Burger,,American,15,,,Individually-Packed-Burger,TRUE,FALSE,FALSE,Platter
Veggie Chowmein,Chowmein with seasonal fresh vegetables,Chinese,140,7,,Rice-&-Noodles-Platter,TRUE,FALSE,FALSE,Individual
"Veggie Green Curry with Rice, Salad & Spring Roll",,Thai,19,,,Individually-Packed-Combos,FALSE,FALSE,FALSE,Individual
"Veggie Massaman Curry with Rice, Salad & Spring Roll",,Thai,19,,,Individually-Packed-Combos,FALSE,FALSE,FALSE,Individual
Veggie Pad Kee Mao,"Fresh rice noodle wok fried with sprouts, peppers, cabbage, tomatoes and basil in fresh garlic chili sauce",Thai,18,,,Individually-Packed-Noodles,FALSE,FALSE,FALSE,Individual
Veggie Pad Mee,"Brown rice vermicelli wok fried with peppers, cabbage, onions, tomatoes, sprouts and egg in thai style garlic sauce",Thai,18,,,Individually-Packed-Noodles,FALSE,FALSE,FALSE,Individual
